,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,coordinates,place,hashtags,followers,friends,ijoy,sentiment_score
113328,2021-11-12T16:19:32+00:00,"Peace on purpose, joy stay jumping",1459194156782432266,𝐄𝐱𝐚𝐯𝐢𝐞𝐫 𝐏𝐨𝐩𝐞,1,1,13,0,"[-87.940033, 41.644102]","Chicago, IL",,38582,6708,1,0.81
113691,2021-11-12T15:42:18+00:00,Comparison is the thief of joy,1459184789446135833,• a l e x •,0,1,0,0,"[-87.940033, 41.644102]","Chicago, IL",,233,169,1,0.1
122006,2021-11-13T17:49:48+00:00,"Very little in life gives me the same level of joy as drafting our Thanksgiving Dinner Menu!
#GobbleGobble @j60660 @CafeMutant https://t.co/VA5ZHcURnx",1459579263267520524,Friendly Gayborhood Daddyman,1,3,23,0,"[-87.940033, 41.644102]","Chicago, IL",['GobbleGobble'],3435,1659,1,0.62
122073,2021-11-13T17:42:20+00:00,"""All joy (as distinct from mere pleasure, still more amusement) emphasises our pilgrim status; always reminds, beckons, awakens desire. Our best havings are wantings.""
⏤ C.S. Lewis, Letters of C.S. Lewis (Nov. 5, 1959) #CSLI",1459577381711228939,C.S. Lewis Institute,0,5,9,0,"[-87.940033, 41.644102]","Chicago, IL",['CSLI'],5230,494,1,0.94
122387,2021-11-13T17:04:14+00:00,"In fact, it was the opposite. Being a Black Woman is such a huge part of my identity, why would I try to hide the aspects of myself that give me so much pride and joy???",1459567795491020802,Cy 🐎,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,605,489,1,0.82
123471,2021-11-13T14:44:25+00:00,"Proud to be a fan of TSS tonight. The B/R pre and post-game (Taylor’s joy was palpable) was great and loved waking up to a recap this morning. 

Congrats, @joeclowery &amp; @TBRock00. It feels like this was a start to the birthday celebration for Daryl. https://t.co/FbLrxEpzhJ",1459532610653331460,Jason A. Lemberg,0,0,13,0,"[-87.940033, 41.644102]","Chicago, IL",,764,1048,1,0.97
124022,2021-11-13T12:13:46+00:00,"@ChrisCloughOly Danny Boy
Reminds me of my parents joy and how much I miss them",1459494696829566977,Bruce le parisien ute fan,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1476,4520,1,0.49
125020,2021-11-13T05:08:43+00:00,@JessicaSimpson making music again brings joy to my life! My Queen forever #particles,1459387729444315136,Sam Cash,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",['particles'],257,807,1,0.62
125524,2021-11-13T04:10:38+00:00,Paul Calderon's arm movements in Bosch are a joy.,1459373111946665986,Bob Fisher,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,1331,1866,1,0.59
125660,2021-11-13T03:58:45+00:00,@keo_nii @Carrliciouss that’s me with joy in my eyes till i the sidewalk said not today,1459370121273692162,XIII,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,190,221,1,0.59
127912,2021-11-13T00:17:14+00:00,This sparks joy https://t.co/Niy1aYECIf,1459314377069408256,Emily M Little,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,201,379,1,0.59
128409,2021-11-14T23:21:50+00:00,"@ForTheWin Having never scored nor will I ever score an NFL touchdown, I fully support his expression. May he have this much joy playing a game after his 2nd or 102nd touchdown.",1460025208287420419,Chi_flag_♥️🇺🇸💯,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,409,1001,1,0.82
128685,2021-11-14T22:51:51+00:00,No greater joy than hanging out at an airport 2 extra hours.,1460017662193508353,ToneZone,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,86,151,1,0.62
132197,2021-11-14T16:25:44+00:00,"Count It All Joy!
@simongordon1",1459920492782145539,Triedstone Church of Chicago,0,0,0,0,"[-87.658155, 41.70466482639313]",Triedstone Full Gospel Baptist Church,,383,19,1,0.62
135120,2021-11-14T04:15:52+00:00,Spread Joy @ Hideout Chicago https://t.co/2lrBVRYZOZ,1459736816563720199,T w i t t e rB e e f,0,0,2,0,"[-87.66241048261467, 41.91371656401167]",The Hideout,,296,1226,1,0.59
137099,2021-11-14T00:24:35+00:00,@JannaZinzi Lolol Joy,1459678612802650115,𝐄𝐱𝐚𝐯𝐢𝐞𝐫 𝐏𝐨𝐩𝐞,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,38582,6708,1,0.59
138159,2021-11-15T22:29:26+00:00,"""All Joy reminds. It is never a possession, always a desire for something longer ago or further away or still 'about to be.'”
⏤ C.S. Lewis, Surprised by Joy #CSLI",1460374411593363462,C.S. Lewis Institute,0,1,3,0,"[-87.940033, 41.644102]","Chicago, IL",['CSLI'],34463,402,1,0.8
138162,2021-11-15T22:29:15+00:00,"""All Joy reminds. It is never a possession, always a desire for something longer ago or further away or still 'about to be.'”
⏤ C.S. Lewis, Surprised by Joy #CSLI",1460374362821849089,C.S. Lewis Institute,0,6,19,1,"[-87.940033, 41.644102]","Chicago, IL",['CSLI'],5230,494,1,0.8
141238,2021-11-15T16:34:10+00:00,"Let’s talk about Chrysanthemums, more commonly known as mums. In most countries they are a symbol of mourning and adversity, but here in the United States they are associated with autumn and joy. They also happen to be the official flower of our new city — Chicago! https://t.co/p9U4TYTdCH",1460285004051791878,The Black Botanists,2,4,36,0,"[-87.940033, 41.644102]","Chicago, IL",,3155,899,1,0.81
147968,2021-11-16T20:55:00+00:00,The pixies or Joy Division?,1460713031323766786,Mr. Kaiju Rising,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,1289,2413,1,0.59
148657,2021-11-16T19:34:27+00:00,"@Darrick75677354 @DeVourieNesbySr His ass cappin, I’ll do Jail time over Joy, you can have Sage Steele 😂😂",1460692764031598596,Justin 🌱.,2,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,990,996,1,0.08
148738,2021-11-16T19:24:22+00:00,i’m still not totally sure that this account isn’t just run by a joy despret. seems like twitter agrees with me… https://t.co/jyuruC9wGg,1460690224821022731,Mrs. Darby,0,0,60,0,"[-87.940033, 41.644102]","Chicago, IL",,16954,1422,1,0.71
150355,2021-11-16T16:21:24+00:00,"Good Morning ☀️ , Happy Taco Tuesday 🌮 , ￼I Hope you have a wonderful day today 🌀, Filled with Love and Joy ￼💕🥳",1460644179739136000,Juan Estrada,1,0,6,0,"[-87.940033, 41.644102]","Chicago, IL",,223,504,1,0.97
151723,2021-11-16T13:27:11+00:00,"""Joy is not a substitute for sex; sex is very often a substitute for Joy. I sometimes wonder whether all pleasures are not substitutes for Joy.""
⏤ C.S. Lewis, Surprised by Joy #CSLI",1460600334984830983,C.S. Lewis Institute,0,6,16,0,"[-87.940033, 41.644102]","Chicago, IL",['CSLI'],5230,494,1,0.95
151969,2021-11-16T12:29:00+00:00,@DiscussingFilm Because spoilers aren't a thing... Oh joy.,1460585694099820548,José DeJesus,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,65,247,1,-0.47
152198,2021-11-16T10:00:21+00:00,Care 4 ppl you never know how ppl will respond to you if you are selfish with your intentions on speaking with them 🙃#Respectfully #appreciate #GodMorningTuesday #PPLs #God #god #Motivation #MotivationalQuotes #Gorgeous #Peace #JOY #inspirationalquotes,1460548283173068804,MoneyGoals 2022,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL","['Respectfully', 'appreciate', 'GodMorningTuesday', 'PPLs', 'God', 'god', 'Motivation', 'MotivationalQuotes', 'Gorgeous', 'Peace', 'JOY', 'inspirationalquotes']",16,170,1,0.03
152329,2021-11-16T08:10:31+00:00,"4. Home front is simple:

Continue being a hot mama in my mom jeans + sweater dresses; play with My Joy’s wardrobe; ward off any immune attacks; and keep being who I needed at 7yo.",1460520644131672066,"Sincerely, Tyra | When Queens Link + YDWW Host",1,1,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1390,4997,1,0.18
155058,2021-11-16T01:53:47+00:00,"God’s About To Turn My Tears Into Joy!
@simongordon1",1460425837669400580,Triedstone Church of Chicago,0,0,0,0,"[-87.658155, 41.70466482639313]",Triedstone Full Gospel Baptist Church,,383,19,1,0.49
155659,2021-11-16T00:52:32+00:00,"@annmsalas Wishing you nothing but joy, success and happiness",1460410423719694343,GingeredTee21,0,0,3,0,"[-87.833698, 41.850023]","Forest Park, IL",,150,216,1,-0.41
156029,2021-11-16T00:05:48+00:00,What a joy to see @HumaAbedin tonight at @UChiPolitics. Thinking of my HFA family tonight ❤️💙 https://t.co/WWZLaB65Pz,1460398660924153864,Haley Hager,0,1,10,0,"[-87.595956, 41.785636]",David Rubenstein Forum,,1217,1300,1,0.59
156590,2021-11-17T23:05:19+00:00,Sometimes I get frustrated when something does go as planned but being able to solve the problem is what brings me joy.,1461108215425470464,TreyLegit,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,707,364,1,0.39
156627,2021-11-17T23:00:16+00:00,Thanks @oocupcakejoy  allow  me use picture! This beer crawl  2021! @C_Spaghett1 @Panthera_Onca6 @likedemolition  Joy and I! https://t.co/1BQGK1GM7b,1461106944031219713,Gabriel D.Silva Go Maholms,2,1,12,0,"[-87.940033, 41.644102]","Chicago, IL",,2516,2903,1,0.86
158319,2021-11-17T19:47:48+00:00,"No clue what we were laughing at 😂🤷🏾‍♀️ but we gotta nice pic out of it! ❤️😊❤️ 

#Family #FamilyPhotos #ThisIsUs #Joy #LaughAlittleOrAlot #FunTimes #LaFamilia @ Chicago, Illinois https://t.co/ar7IghmyG3",1461058509685075978,Tierra Brockman,0,0,1,0,"[-87.632496, 41.883222]","Chicago, IL","['Family', 'FamilyPhotos', 'ThisIsUs', 'Joy', 'LaughAlittleOrAlot', 'FunTimes', 'LaFamilia']",297,308,1,0.67
158714,2021-11-17T19:21:31+00:00,"The Timer of Joy is in full swing at Lisa’s cafe!  If you’re with our cashier when the Timer of Joy goes off, you’ll get a special treat! 
#joyful #popsofjoy #timerofjoy @ Lisa's https://t.co/FejT25qwDl",1461051894118371330,Northwestern Dining,0,0,1,0,"[-87.67570077, 42.0601875]","Evanston, IL","['joyful', 'popsofjoy', 'timerofjoy']",1552,40,1,0.93
160018,2021-11-17T17:03:11+00:00,"Someone looks right at home in an @AEW ring &amp; her name is @_thehyan.  

Gotta say, I felt nothing but joy watching this match. Renaissance Woman v @realrubysoho is such a delight! https://t.co/cD65UpD88X",1461017081298755586,val capone: she/her,2,3,22,0,"[-87.940033, 41.644102]","Chicago, IL",,2890,2896,1,0.37
161794,2021-11-17T13:27:41+00:00,"""In this world everything is upside down. That which, if it could be prolonged here, would be a truancy, is likest that which in a better country is the End of ends. Joy is the serious business of Heaven.""
⏤ C.S. Lewis, Letters to Malcolm #CSLI",1460962849325555718,C.S. Lewis Institute,1,2,10,0,"[-87.940033, 41.644102]","Chicago, IL",['CSLI'],34463,402,1,0.75
161802,2021-11-17T13:26:54+00:00,"""In this world everything is upside down. That which, if it could be prolonged here, would be a truancy, is likest that which in a better country is the End of ends. Joy is the serious business of Heaven.""
⏤ C.S. Lewis, Letters to Malcolm #CSLI",1460962651920605185,C.S. Lewis Institute,0,3,6,1,"[-87.940033, 41.644102]","Chicago, IL",['CSLI'],5230,494,1,0.75
163742,2021-11-17T03:24:49+00:00,"@Sufi_Path I’ve experienced this, my dad use to do biannual feasts specifically for the displaced, hungry, poor &amp; homeless. 

No thing compares to feeling connected &amp; fulfilled for those needing fulfillment. The joy of sharing &amp; giving is profound when it’s from your volition &amp; your heart❤️‍🔥 https://t.co/UzLTH0gsai",1460811135276490756,FEAR is INVERTED FAITH »» UNITY «« is THE🔝FORCE,0,0,1,0,"[-87.733451, 42.0191507]","Evanston, IL",,626,920,1,0.79
164334,2021-11-17T02:21:57+00:00,"My college is raising tuition by 10% next year and housing by 2.5%. Fun times, trying to getting an education is such a joy. Thank god I’m living off campus next year at least.",1460795311446798337,TJ,1,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",,1963,3021,1,0.89
165913,2021-11-18T23:36:26+00:00,"Always a joy to stand with and serve our great city of Charlotte community with our Mayor, Vi Lyles!
@CLTMayor @CLTgov @PastorMStevens @CityChurchCOGIC https://t.co/fQnng0tUv4",1461478435201634310,Michael A.Stevens,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1730,898,1,0.85
169291,2021-11-18T17:21:41+00:00,"“You can have a connection with food that doesn’t invite guilt. It invites exploration and adventure and excitement and joy, and my body still feels good the next day. That’s something that I want to share with others,’ said Pope”
#plantbased #veganism 

https://t.co/HIIokgU4UX",1461384124057411596,𝐄𝐱𝐚𝐯𝐢𝐞𝐫 𝐏𝐨𝐩𝐞,1,1,6,0,"[-87.940033, 41.644102]","Chicago, IL","['plantbased', 'veganism']",38582,6708,1,0.93
169593,2021-11-18T16:48:11+00:00,"@JoyTaylorTalks Same mood, Joy!  Same.",1461375695288950787,Terence M. Young,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,2300,1526,1,0.62
175724,2021-11-19T23:53:41+00:00,I need for @ringofhonor to be revived and truly supported this go round….after the releases today…nah…I’m starting to low key lose the joy for wrestling again…I had just got it back.  Stuff is starting to not make sense again in the biz.,1461845162175483906,Trevoy Johnson,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,1580,1929,1,0.64
177531,2021-11-19T20:34:57+00:00,"Ricky Dillard, James Hall and for the culture mighty clouds of joy https://t.co/bOb6F2w9vg",1461795151949574146,JaredPierre,0,1,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1150,980,1,0.59
178662,2021-11-19T18:56:03+00:00,"@AlysonKavan @BrianEntin oh how wonderful !!! this entire case should be dismissed, he’s gonna be a nurse one day and save people instead of murdering them for a change. wow, joy to the world. i finally feel peace on earth",1461770260386885636,dam thats crazy,9,1,70,0,"[-87.940033, 41.644102]","Chicago, IL",,689,537,1,0.94
185808,2021-11-19T01:01:18+00:00,"@FullCountTommy I don’t often care to watch other teams outside of the Nats and Tigers, but he was an absolute joy to watch",1461499794132811779,elmtree 🏳️‍🌈,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,804,950,1,0.81
187662,2021-11-20T21:34:56+00:00,I just went thru an emotional rollercoaster ride watching #GhostbustersAfterlife. That was a movie going experience. I was left in tears and ultimate joy. FUCK THAT WAS DAMN GOOD!!!,1462172632128839682,THE BEARD KING 🇵🇷,0,0,4,0,"[-87.896102, 41.973825]","Rosemont, IL",['GhostbustersAfterlife'],940,608,1,-0.34
191181,2021-11-20T15:39:44+00:00,@kqskqs Go to Joy Yee,1462083245747720201,New Year New Marco,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1118,4434,1,0.59
193453,2021-11-20T04:56:14+00:00,Pure joy 🖤🖤 https://t.co/P7gAkWrYin,1461921303255040001,Jess? You bet!,0,0,5,0,"[-87.67879710272794, 41.91018370123048]",Chop Shop,,391,666,1,0.59
196100,2021-11-20T00:21:02+00:00,Wonderful to catch up with @KatelynnTowne at ASC after far too long. So much joy seeing my former advisees winning at work and life. 💜 and yes we were trying to get our focus points in line! https://t.co/Bn5LXDwdkD,1461852047242891277,Eileen Avery,0,0,3,0,"[-87.6267388, 41.8803066]",Palmer House - A Hilton Hotel,,389,471,1,0.93
200294,2021-11-21T17:45:23+00:00,@jenurrz I gotta shit talk someone. It’s the only thing that bring me joy.,1462477253527412737,Andrew Decker,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,278,582,1,0.05
200348,2021-11-21T17:39:15+00:00,@ClintSmithIII The joy in this is just so special and so beautiful!! ❤️ Love this so much!! Hugs to you all!!,1462475710656917514,mariagalanis.eth,0,1,0,0,"[-87.940033, 41.644102]","Chicago, IL",,14549,6996,1,0.97
201231,2021-11-21T16:10:58+00:00,"During The Millennium, Jerusalem will be a place of Joy! Isaiah 65:18
@simongordon1",1462453493680287747,Triedstone Church of Chicago,0,0,0,0,"[-87.658155, 41.70466482639313]",Triedstone Full Gospel Baptist Church,,383,19,1,0.62
205256,2021-11-21T01:43:53+00:00,"@TyMcKinnie Happiness, Joy, Union 💯",1462235286243627020,Tejh Johnson 👑,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,778,1107,1,0.81
205344,2021-11-21T01:32:55+00:00,One of the major downsides of the work I do is that there's very little fun or joy in my social media feed so here's a picture of Minuette. https://t.co/TbMgxrXCFa,1462232524093067274,"John C. Silva, NBCT",2,0,16,0,"[-87.940033, 41.644102]","Chicago, IL",,4434,4905,1,0.78
208876,2021-11-22T18:32:14+00:00,will also be watching this because I require more joy in my life https://t.co/4RruCgTteP,1462851431871008769,Patty Cake,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,78,678,1,0.62
209186,2021-11-22T17:58:35+00:00,"✨Hope this week is filled with all things that bring joy. #BISCLP, let us know what you’re up to during the break! ✍️🏉☀️🤾🏼‍♀️🍰📚🎨🍗
📸Tag us: @BISCLincolnPark

#NordAngliaEducation #PrimarySchool @NAEducation https://t.co/7cnYT2GTyA",1462842964527489025,BISC Lincoln Park,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL","['BISCLP', 'NordAngliaEducation', 'PrimarySchool']",1767,321,1,0.62
210355,2021-11-22T15:34:57+00:00,@AnotherEchelon_ Bundle of joy 🤩,1462806817847791628,Denzel Tucker,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,20202,20282,1,0.59
210800,2021-11-22T14:24:01+00:00,Because they’re little terrorists that don’t want us to experience joy. https://t.co/ZCblU6C28m,1462788965715566596,Lazy Perfectionist,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,307,1527,1,0.08
210833,2021-11-22T14:19:00+00:00,"@MagnificentStan @quernzy @Pockets125 my aunt definitely is too. she’s so freaking excited that when she tells people it’s hard for her not to contain her absolute joy. 
I’m excited to see which family member is which Tom hanks. Costumes will be uploaded to socials &amp; Tom Hanks &amp; his wife will be tagged",1462787705293656070,delia but more del griffith (taylor’s version),0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1549,5000,1,0.78
211621,2021-11-22T07:49:24+00:00,A nice thing to do is to randomly ask your friends what brought them joy recently,1462689658350063617,Riley,0,0,5,0,"[-87.940033, 41.644102]","Chicago, IL",,368,595,1,0.87
213564,2021-11-22T02:34:58+00:00,@brittainashford I wept with joy every second that Dan Aykroyd was on screen.,1462610529642598400,Peter Quinn Fuller,0,0,1,0,"[-87.6959064, 42.0093111]","Chicago, IL",,158,792,1,0.2
214583,2021-11-22T01:00:00+00:00,It always fills me with joy when I hear how much people love @SeippBeer. I found myself smiling quite a bit while I was working on this project so I guess it’s the happy beer! https://t.co/khmk6pCljy,1462586628761960449,Liz Garibay,2,1,24,0,"[-87.940033, 41.644102]","Chicago, IL",,3414,3057,1,0.94
215301,2021-11-23T23:48:15+00:00,"On this feast of Saint Clement we pray that compelled by our patron Saint we bring peace, joy and communion to every person we meet. Blessed celebration of #Thanksgiving https://t.co/qepRS8iLKS",1463293346387050505,Fr. Peter Wojcik,0,0,12,0,"[-87.64619690331723, 41.928194581761055]",Saint Clement Parish,['Thanksgiving'],4962,627,1,0.93
215312,2021-11-23T23:46:50+00:00,Some joy 🍂 https://t.co/E7EY84k3iz,1463292989791477760,Steve Quinlan,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,207,606,1,0.59
217408,2021-11-23T19:21:37+00:00,"Have you watched main-street media, the Demkkrats, Joy Reid the View, Hollywood BLM, Antifa Jesse Jackson, Al Sharpton keep race out of it &amp; just factually report the news??? If you haven't, the jokes on you! https://t.co/JbjDXKlj3W",1463226248281341960,LeBon Travel Culture,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,10002,10573,1,0.6
217571,2021-11-23T19:03:49+00:00,@CherneyAmharaTV @cbschicago You can tell they absolutely love what they do and sharing joy,1463221768840257540,Marissa Parra,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,5608,1274,1,0.9
220045,2021-11-23T14:44:53+00:00,Praying this morning for all who will travel for #thanksgiving this year. May God keep you safe and the joy of reuniting with your family and friends fill your hearts with peace and love. Blessed Thanksgiving https://t.co/jwV4WeAlVQ,1463156604019302405,Fr. Peter Wojcik,0,1,10,0,"[-87.940033, 41.644102]","Chicago, IL",['thanksgiving'],4963,627,1,0.98
221178,2021-11-23T06:56:16+00:00,Last Night in Soho was really good I am also very in love with Anya Taylor Joy https://t.co/s3FdDLPpKG,1463038675349090312,ShinGodzillaSauce2.0,1,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,53,91,1,0.91
221860,2021-11-23T04:41:23+00:00,"The misnamed ""Joy"" is a dumb racist and a danger to society! She so deserves to be canned! https://t.co/SJw3bB3N1W",1463004731526336514,LeBon Travel Culture,0,1,3,0,"[-87.940033, 41.644102]","Chicago, IL",,10002,10573,1,-0.91
224185,2021-11-23T00:39:18+00:00,"My favorite Bjork song is “It’s oh so quiet.” One of my all time favorite songs and videos, period. Reminds me of the big, grand old MGM style musicals that make me so giddy and dance around the room singing with unrestrained joy! 😊🎉❤️🎶 https://t.co/nTgyXakZp8",1462943808719630338,Sonya Olds Som (she/her/hers),0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,15050,4071,1,0.9
227362,2021-11-24T18:35:14+00:00,Why do you hate joy? Smh https://t.co/KZsZ2tKzRz,1463576962597859337,Justin King of the North Fields,1,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,94,449,1,-0.3
228139,2021-11-24T17:03:18+00:00,"Mom is late-stage #Alzheimers, so our mission these days is simply to provide moments of joy for her. For example, #milanocookies = moment of joy. #ENDALZ #dementia #caregivers @ImSoStephanie https://t.co/TSX4Q0JbYV",1463553826812801032,S C H N I C K,0,0,1,0,"[-87.64662423491713, 41.925651562952545]",Belmont Village Senior Living Lincoln Park,"['Alzheimers', 'milanocookies', 'ENDALZ', 'dementia', 'caregivers']",37,134,1,0.82
228521,2021-11-24T16:24:39+00:00,"@KimeeBe Damn talking about a morning tweet

Good morning, I hope you have a wonderful day my friend fill with nothing joy and relaxation. Take care, stay safe, stay positive and stay blessed beautiful 🌹 https://t.co/qipWk2zcKH",1463544101517897738,BigRob1987,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,10136,9746,1,0.97
228799,2021-11-24T15:59:48+00:00,@oocupcakejoy Happy Heavenly Birthday to your mother Joy!,1463537844761370626,New Year New Marco,1,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,1119,4435,1,0.92
229020,2021-11-24T15:35:24+00:00,I always cause so much havoc the day before I holiday. Maybe it’s cause of my religion that doesn’t allow me to celebrate so I feel the need to take the joy out of everything. Ugh. 🥺,1463531706707808261,Dekker,0,0,0,0,"[-87.7790301, 41.82158]","Cicero, IL",,651,396,1,0.63
229999,2021-11-24T13:10:50+00:00,"The Lord is my strength and my shield; my heart trusts in him, and he helps me. My heart leaps for joy, and with my song I praise him.
Psalms 28:7 NIV

https://t.co/xEh2LfbeqW https://t.co/xV28tIpTWQ",1463495326002786311,Christian Stewart,0,0,0,0,"[-87.733451, 42.0191507]","Evanston, IL",,494,4966,1,0.95
231315,2021-11-24T04:29:15+00:00,"“You should read this,” she says re-reading it for the third time. @TennfanHypno is a joy. https://t.co/K7yHzgcoSw",1463364065191997446,Lois Lane 🔞,0,1,9,0,"[-87.940033, 41.644102]","Chicago, IL",,162,195,1,0.59
234294,2021-11-25T22:23:09+00:00,Joy x Isaac Hayes https://t.co/mvLudttNF0,1463996707788709894,Justin 🌱.,0,0,1,0,"[-87.940033, 41.644102]","Chicago, IL",,990,996,1,0.59
235074,2021-11-25T20:34:22+00:00,The single mom urge to take Joy out as much as possible so that I’m her favorite parent &gt;:),1463969331419791365,Andrea💌,0,0,7,0,"[-87.940033, 41.644102]","Chicago, IL",,223,200,1,0.78
235143,2021-11-25T20:25:07+00:00,"Thoughts for Thursday. Wishing everyone an abundance of gratitude, love  &amp; joy every day. #beyourhero #thanksgiving #gratitude @ Chicago, Illinois https://t.co/SxWb4ixftA",1463967001504890888,Jennifer Bach Hogg,0,0,1,0,"[-87.632496, 41.883222]","Chicago, IL","['beyourhero', 'thanksgiving', 'gratitude']",344,219,1,0.92
235573,2021-11-25T19:38:15+00:00,"Question:
Does a Black Woman's joy, happiness, peace and pride bother you? If it does, can you explain why?

I ask because I've seen, many times, when Black Women are Black Womening... Here comes the  ""others"" being pissy because they weren't included.",1463955207692431361,if the hex fits throw that shit 🧙🏾‍♀️🖖🏾,1,0,0,0,"[-87.863231, 41.86419]","Maywood, IL",,219,366,1,0.91
235682,2021-11-25T19:23:36+00:00,Thankful for the ones in my corner. I hope this day brings you peace and joy knowing everyone has a plate at the table. DAYBREAK is out now and merch will be available soon. https://t.co/Gn2mVtBBSv,1463951521750597638,Sebastian Peace,0,4,9,0,"[-87.545872, 41.682759]","East Side, Chicago",,34,39,1,0.93
236277,2021-11-25T18:23:34+00:00,Happy Thanksgiving to all of you!  I hope you are able to spend time with those you love and care for you.  It's a great time to reflect on what fills your life with joy and how you might share joy with others. 🔥🤘🔥 https://t.co/KMrt24WIwM,1463936412865249282,the.mighty.hector,0,0,2,0,"[-87.860474, 41.810245]","La Grange Park, IL",,183,347,1,0.98
237609,2021-11-25T16:06:07+00:00,https://t.co/i5neAmQsJu.  Thanksgiving Brekkie:  Cinnamon Rolls for me...and Tuna for these 'lil furry nuggets of joy.  🐾💞  #HappyThanksgiving #HomeSweetHome #Chicago #Northside https://t.co/JSdG873Ay7,1463901825350909952,JensBigCitySoundtrack 🤘🌊🤘,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL","['HappyThanksgiving', 'HomeSweetHome', 'Chicago', 'Northside']",686,2620,1,0.59
240581,2021-11-25T03:51:41+00:00,"@todayisnotreal @violue @poptivist Your gatekeeping of what brings folks joy and why is unfortunate, and pathetic. Have you been to a show? To see the teens standing shoulder to shoulder with young parents, small kids, old emos like me, and folks in their 50’a/60’s? Or do you only care to see what you want?",1463716996386856962,💕 katie løuisa 🌈✨💖,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,199,325,1,0.56
241732,2021-11-25T01:44:26+00:00,"Have a day full of peace, love and joy. Happy Thanksgiving https://t.co/ZrUTDT7cBb",1463684973895028736,Dorothy Jones,0,0,4,0,"[-87.940033, 41.644102]","Chicago, IL",,181,1275,1,0.95
243719,2021-11-26T21:44:27+00:00,@TheStalwart This brings Joe great joy. He's been short since around $4k. Working out great for him &amp; his disciples &amp; followers,1464349356887363592,Creads@ACME,0,0,0,0,"[-87.940033, 41.644102]","Chicago, IL",,519,4600,1,0.92
244990,2021-11-26T18:45:17+00:00,@Keelin_12ft This brought me joy,1464304266198372352,Sean O'Brien,0,0,2,0,"[-87.798798, 41.68331]","Oak Lawn, IL",,719,2921,1,0.59
247372,2021-11-26T07:30:17+00:00,Someone book me for a Latinx centered Xmas show so I have a reason to perform Mi Burrito Sabanero. Please no other xmas song brings me as much joy as this one,1464134396534009856,Cindy Nero,1,0,19,0,"[-87.940033, 41.644102]","Chicago, IL",,529,1233,1,0.6
247588,2021-11-26T06:03:34+00:00,"So thankful for everyone that brings joy, laughs, support and love into my life 🥰",1464112576636334083,m.,0,0,2,0,"[-87.940033, 41.644102]","Chicago, IL",,672,1045,1,0.96
250880,2021-11-27T21:30:27+00:00,The 15th District will be hosting The Annual Christmas Drive-Thur Event Dec 19th 2pm until 5pm. We continue to create partnerships to bring joy to the Austin Community. To participate please call caps office for details 312-743-1495. #InThisTogetherChicago #CpdInspiring https://t.co/tqBw4GsjQV,1464708222489616392,15th District – Austin,0,6,8,1,"[-87.76886944637423, 41.88009309835066]",15 District Police Station,"['InThisTogetherChicago', 'CpdInspiring']",4783,1498,1,0.8
