,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy
113967,2020-05-09T02:59:32+00:00,@KIXNKARBS @TrapBoyVon_ @Alkapone47 @C_kelly1988 @loucabrera77 @Cortez72life And where was my invite https://t.co/IMZRrS82fh,1258954727976570884,Taylor Bailey,2,0,3,0,Chicago Ridge,,2642,1207,0
328944,2020-05-25T01:01:41+00:00,"@charmainesmchan My wife and I are hotly debating whether “the volume” screens on Mando are creating the finalized backgrounds of shots with some touch ups, or whether they are used only for lighting and they have to be completely replaced via composting later.  Can you help us end the debate?",1264723278830206982,Andrew Halaby,1,0,1,0,Chicago,,118,286,0
70481,2020-05-06T15:17:37+00:00,Tendrá que sacarse una foto y unos pucheros. https://t.co/ze2wsKyU11,1258053312731119617,Diego E. Barros,1,1,3,0,Chicago,,11416,887,0
269584,2020-05-21T17:28:27+00:00,@nicolewolverton Sparkle on!!!,1263522054843830272,Sarah Aronson,0,0,1,0,Skokie,,6443,6571,0
242371,2020-05-19T18:00:20+00:00,"In other news, this song will always make me feel romantical and hopeful.
https://t.co/doii6bHvE5",1262805300798795777,Wookiee Boogie,0,0,0,0,Chicago,,1335,2611,0
20516,2020-05-02T14:10:54+00:00,I was meditating and my sister is like you look like the avatar. 😭😭 fuck off.,1256586968516964352,j,0,0,1,0,Chicago,,429,661,0
584,2020-05-01T23:13:57+00:00,@SFGiants Tejeda 22,1256361245780869121,Andrés Tejeda 🎙,0,0,0,0,Chicago,,230,632,0
116841,2020-05-10T23:12:35+00:00,@larrybeo Love you crazy kids 😘 congrats on year one!,1259622390595715072,Goose Island Beer Co.,1,0,0,0,Chicago,,82274,1159,0
292876,2020-05-22T00:07:06+00:00,@phendiphendi When they use a platform that isn’t credited I’m not going to. That lady you posted the other day has been discredited and is on the website,1263622376341876738,Pack Patrol,1,0,0,0,River Forest,,271,902,0
223627,2020-05-18T22:34:18+00:00,@LipsOfRedd I see!,1262511860890382336,Je Ne Sais Quoi,0,0,1,0,Chicago,,1056,1290,0
118587,2020-05-10T20:17:11+00:00,@MarieJ1190 @ReddHeadBaddie_ Great!!,1259578252231872513,Ashley💕,0,1,0,0,Chicago,,622,512,0
403831,2020-05-31T17:54:52+00:00,Oml I remember this .. Wild asf for this 😡😡 https://t.co/zmvy3AX92z,1267152581702410248,Makaveli 🦅,0,0,0,0,Chicago,,1588,1385,0
309032,2020-05-24T18:17:27+00:00,"Happy #AMTDay  to all of the professionals who keep our airplanes flying every day.  From the odd list of missing fasteners to an engine change in a remote location, we can always count on our @Teamsters represented AMTs to get the job done well. https://t.co/sNLlaY1GOt",1264621550466142208,Dispatchers United,0,3,14,0,Chicago,['AMTDay'],1301,835,0
192738,2020-05-15T03:33:56+00:00,I just really want someone naked in my room,1261137715338391556,Goode Morning Campers,27,6,351,3,Chicago,,82731,1588,0
312099,2020-05-24T14:11:04+00:00,"@AcnhYen gah, how annoying! I knew it was lost over water but losing it in a flower seems a bit much!",1264559542861541378,"harrie ""glorious being of light & miracles""💉💉😷",1,0,0,0,Chicago,,2911,4976,0
295,2020-05-01T23:34:59+00:00,@kaymxney Thanks!!!,1256366537671356422,tia,0,0,1,0,Chicago,,160,243,0
3606,2020-05-01T18:59:17+00:00,@zemthings floor cool,1256297157528780801,Kyle Gaddo,1,0,0,0,Chicago,,5613,3368,0
75293,2020-05-06T02:15:15+00:00,"@jstrong_20 he won the west, yay! He not better than CP3.",1257856422102142983,boog.,1,0,0,0,Chicago,,1067,774,0
390530,2020-05-30T16:23:10+00:00,"We could avoid these giant, saddening stretches of history if everyone would take the little extra effort each day to be a good person. 

Yet, it seems everyday we get further from that being a reality. 

All love to my brothers and sisters. 
#JusticeForGeorgeFlyod ✊🏽❤️",1266767114376970245,Joey Longo 🐐,0,0,6,0,Franklin Park,['JusticeForGeorgeFlyod'],546,247,0
135454,2020-05-11T13:32:37+00:00,Me esta cargando la 🍆 con esta cruda🥴🤢,1259838827490877440,URIBE,0,0,0,0,Chicago,,73,389,0
143414,2020-05-12T21:22:46+00:00,@s_mellors The Day After Tomorrow,1260319532280881154,Nathan Ellstrand,0,0,5,0,Chicago,,3764,1884,0
267377,2020-05-21T20:19:27+00:00,@JoeDWallisJr @ALionEye Tricky.,1263565089870921738,Gen. Thoughts,0,0,0,0,Chicago,,325,309,0
144762,2020-05-12T19:18:02+00:00,"@JimHalterman @RichardEGrant @DaisyEdgarJones @mescal_paul @NormalPeopleBBC Thank you so much, Jim! That means a lot to me as the show meant so much to me.",1260288140922716161,Jeff York,0,0,1,0,Chicago,,827,970,0
144604,2020-05-12T19:32:39+00:00,"Am I the only one wishing we used the money from the Blue Angels for Covid-19?  I realize that it’s not that simple, but it just seems like a huge amount of money to spend.",1260291820757684224,Geggie,0,0,1,0,Chicago,,570,1786,0
89145,2020-05-07T01:25:40+00:00,"@AdriaRocais Meu pensamento é de elevar o nível intelectual de quem ocupa cargo público, não monetário. Se for elite intelectual e social, acho que poderia ser um caminho interessante.",1258206331305156608,Rodrigo Fernandes,5,0,11,1,Chicago,,495267,2068,0
122106,2020-05-10T15:06:11+00:00,https://t.co/jSZmSTKW9C,1259499983692337152,Carrie Slee,0,0,0,0,Posen,,643,1005,0
267252,2020-05-21T20:29:08+00:00,https://t.co/umyTIc4AV7 https://t.co/tF2xrSwV5M,1263567522835517440,maura,0,0,1,0,Chicago,,302,264,0
57273,2020-05-05T15:52:55+00:00,"36.5K Plays Today! #NowTrending 
on @audiomack @Drake ☀️🙌🏾

2,213 Plays on @SoundCloud ⭐️👏🏾

S/O to everyone that’s been listening!! Thank you So Much!!❤️🌍

https://t.co/oKvTspoZZj

https://t.co/2421ihfu9d https://t.co/mImkOM1dDC",1257699805914152960,BIG ZOOVIE,0,0,1,0,Chicago,['NowTrending'],5357,3389,0
104596,2020-05-09T23:06:31+00:00,@EricZorn You have no idea how bad it’s going to get.  Already storefront vacancies are at 20% and will probably double.,1259258476670353411,Joel A. Brodsky,0,0,0,0,Chicago,,749,101,0
345553,2020-05-27T19:30:21+00:00,"I need a mental, spiritual, and emotional vacation... just complete uninterrupted isolation for 168-hours!",1265727058690347008,Justyn “JUICE” Vaughn,0,0,2,0,Forest Park,,548,887,0
373792,2020-05-29T18:51:26+00:00,"This is this insidious “long game” of James M. Buchanon, executed to perfection in plain sight (but noticed by nobody) by the Koch Brothers of loading the courts on a local and federal level to change laws. Mitch is obsessed with it, as is Trump. SCOUTUS is ultimate goal. https://t.co/5QIpbpQ5Mp",1266442038641377280,Greg Hiss,0,0,0,0,Chicago,,637,1056,0
40561,2020-05-04T20:34:58+00:00,"@virtualgoblin @ndrewmcauliff The best thing to do is email us at repcassidy@gmail.com with as much detail as you can. We’re a very tiny team, but we’ll do everything we can to help.",1257408398301282308,Rep. Kelly Cassidy,0,0,0,0,Chicago,,8955,3817,0
405216,2020-05-31T16:26:07+00:00,"White leftists always think they know best, even when black people plead with them to stand down. https://t.co/zaMPTJqxDS",1267130247977238533,John Smith Chicago,1,0,2,0,Chicago,,6533,4859,0
62206,2020-05-05T02:40:36+00:00,Keep crying you dumbass. https://t.co/Wnht9rvyPO,1257500415173812226,Diego E. Barros,0,0,1,0,Chicago,,11416,887,0
244339,2020-05-19T15:32:43+00:00,"Lilac reflections. 💜 
  
#Photography #lilac #purple #macro #macrophotography #reflections #dailyphoto #ThePhotoHour #500pixrtg @StormHour @MacroHour @earthescope @EarthandClouds @EarthandClouds2 @LensAreLive https://t.co/Ooj3XEUxTb",1262768152770949120,Chris Spoons,0,6,31,0,Chicago,"['Photography', 'lilac', 'purple', 'macro', 'macrophotography', 'reflections', 'dailyphoto', 'ThePhotoHour', '500pixrtg']",1614,3094,0
368726,2020-05-28T01:35:16+00:00,Y’all know the fucking vibes https://t.co/aGoZz5nPg6,1265818894759014403,🤴🏾 of 👸🏽 👸🏿👸🏾👸🏼👸🏻,1,0,0,0,Chicago,,426,352,0
411757,2020-05-31T03:40:05+00:00,3065 North Avers Avenue https://t.co/wbUD0n7xVz,1266937468949016582,every lot chicago,0,0,1,0,Chicago,,4933,4,0
109879,2020-05-09T15:03:06+00:00,"Preach!💪🏽👊🏽
_____________
#successhabits 
#consistencyiskey 
#mindsetmatters 
#thetimeisnow @ Chicago, Illinois https://t.co/B0WfynuGQc",1259136821105168385,Amy Mahjoory,0,0,0,0,Chicago,"['successhabits', 'consistencyiskey', 'mindsetmatters', 'thetimeisnow']",707,128,0
167843,2020-05-14T23:38:21+00:00,@Three_Ninjas @MavenofHonor I really was! I love that city!,1261078428134113281,"Darius Morgendorffer, MSW",1,0,1,0,Chicago,,3386,1022,0
83785,2020-05-07T14:48:33+00:00,"@TrialsCarry @Veethah I do! Free content, amazing weapons, special classes, and the monsters are no joke. Really good game.",1258408386040823809,| REZO | chibithûn,0,0,2,0,Chicago,,3566,2674,0
31250,2020-05-03T16:46:53+00:00,@AykidShots Yoooo yes! I do this often hahaha,1256988610051661826,Lili K,1,0,1,0,Chicago,,5827,630,0
141101,2020-05-11T00:34:56+00:00,corona don’t mess Virgo season up,1259643114807005186,OfficialBusyBrownGirl.,0,0,0,1,Chicago,,1174,926,0
45564,2020-05-04T13:11:39+00:00,I approve this message #StarWarsDoBetter https://t.co/uoXQDsh6sp,1257296834365710336,ThaBlackPolymath,0,0,1,0,Oak Park,['StarWarsDoBetter'],471,928,0
394271,2020-05-30T06:02:53+00:00,Love and peace to all. Even Morton Grove police department.,1266611018412818432,Danish Mukhi,0,0,2,0,Morton Grove,,533,401,0
206414,2020-05-16T03:09:03+00:00,"Tonight would’ve been my family’s last night at Disney. 🙇🏾‍♀️

Don’t mind me...I’m just gonna weep in the corner 😭

#1stworldproblems",1261493841347129344,シ,0,0,2,0,Chicago,['1stworldproblems'],603,617,0
146474,2020-05-12T17:02:01+00:00,"Got to stand out on the balcony and see the @blueangels fly by! #merica @ Chicago, Illinois https://t.co/SLbeGC6cdN",1260253911090421760,Joe Lynch,0,0,1,0,Chicago,['merica'],342,426,0
319372,2020-05-25T20:58:15+00:00,"@yawgeezmusic Not sure if you stream or not, Gotta make sure you either let that joint finish all the way thru or fully rewind. The “resume episode” caught me once. Live and learn. 🤦🏾‍♂️",1265024404230152194,ET_IV,1,0,1,0,Chicago,,543,1200,0
348718,2020-05-27T15:14:01+00:00,@igorzarubo @GoldenBarspoon The premium vodka is $20 and comes from Grey Goose,1265662552018685952,Black Liver Project,0,0,1,0,Chicago,,1457,1523,0
358712,2020-05-28T19:58:06+00:00,Check out this project by the big sis @ang13zone :  https://t.co/EkMV3EdvNi,1266096431670099969,Cloak The Scribe,0,1,1,0,Chicago,,1846,897,0
10822,2020-05-01T03:52:46+00:00,Mulans soundtrack slaps,1256069024364011520,Mike 🏴‍☠️,1,1,13,0,Chicago,,630,554,0
110784,2020-05-09T13:28:46+00:00,"@SaraUnderwood TY! re ""sweet dreams.""",1259113081868824577,David R. Jacobson,0,0,0,0,Chicago,,96,146,0
82992,2020-05-07T15:47:21+00:00,@LinBrehmer @93XRT Good grief. 🤦🏼‍♀️ https://t.co/wKB4eIWLLo,1258423179556589568,Cathy |✶✶✶✶,0,0,1,0,Chicago,,1026,2696,0
125352,2020-05-10T04:11:49+00:00,That’s a bullshit stoppage!!! #UFC249,1259335310481199106,Mandalorian Mike,1,0,1,0,Chicago,['UFC249'],282,949,0
6195,2020-05-01T15:33:12+00:00,@BrianRoeComedy I unfriended Burke.,1256245292678164481,Joe Kilgallon,2,0,0,0,Chicago,,5086,1455,0
63943,2020-05-05T00:27:08+00:00,"@VegaVandal @ryanprociuk Gotta give that liver at least a day or two break buddy 

Sun to Wed abstain and you’ll live to 🍸 🍷🍹🥃 another day",1257466825715089408,"Vandy, C. A.",0,0,1,0,Chicago,,3685,955,0
253011,2020-05-20T21:22:01+00:00,@Scaramucci Dude - just go away.,1263218444385878022,Zach Morris,0,0,0,0,Franklin Park,,44,333,0
208207,2020-05-16T00:57:54+00:00,"...the vampire repellent is rising up beautifully! #Ajo #Garlic #zQzGarden @ Cook County, Illinois https://t.co/wLFsoqApJB",1261460833894268929,🏳️‍🌈 The zQz Tower,0,1,0,0,Chicago,"['Ajo', 'Garlic', 'zQzGarden']",26,3,0
93549,2020-05-08T19:44:58+00:00,@KiaSmithWrites Ok well bitch wrap it up then,1258845367891787780,OfficialBusyBrownGirl.,1,0,0,0,Chicago,,1174,926,0
139129,2020-05-11T02:32:56+00:00,"“Mike does not need any more gas in his car to get going. But then when you do that, you have to expect all hell to break loose from that point on... And ya, that’s what happened.”
@glenrice41 perfectly sums up MJ. #TheLastDance",1259672812962357255,Steve Thompson,0,0,0,0,Chicago,['TheLastDance'],411,270,0
170472,2020-05-14T20:24:43+00:00,I see the sun trying to peep out a little bit,1261029696088805377,LySandra,0,0,0,0,Chicago,,190,704,0
73746,2020-05-06T04:30:43+00:00,@MrSisXian *looking,1257890514285875200,David A. Dempsey,0,0,0,0,Chicago,,178,192,0
8317,2020-05-01T11:56:36+00:00,@caitlintackles https://t.co/HDSNZQP406,1256190784690425858,Jacob M.,0,0,1,1,Chicago,,194,494,0
89379,2020-05-07T01:07:44+00:00,@YorknewCity Lieutenant Hughes... :(,1258201817994989569,Roman,0,0,1,0,Alsip,,106,62,0
171129,2020-05-14T19:37:56+00:00,Everything about the November election is going to be fascinating. Will it solely be a referendum on #coronavirus response? Or stay at home orders vs economy? What #Trump did vs what #Biden would have done? Will there be face 2 face debates? You think sports are tough to figure🇺🇸 https://t.co/hu8yvI5Is2,1261017924980084736,Dave Ross,1,0,2,0,Chicago,"['coronavirus', 'Trump', 'Biden']",6900,639,0
145045,2020-05-12T18:50:14+00:00,@therealelp I got my order in!,1260281145280942080,Robert Ruggiero,0,0,0,0,Oak Park,,33,158,0
296901,2020-05-23T17:54:54+00:00,"@rcarter76 @RollingStone And I’m sorry treating and preventing viruses are 2 very different things. Some viruses obviously there’s no need to prevent OR treat but others it’s extremely important just to prevent. If they say this is one of those, who am i to say no fuck you?",1264253487522734080,Dave Young,0,0,0,0,Chicago,,372,530,0
201011,2020-05-16T16:44:43+00:00,When he belongs to the streets 😂😩 https://t.co/4uYyC44vc6,1261699107208511490,Shellock Holmes 🧐,0,0,1,0,Chicago,,378,689,0
258440,2020-05-20T13:56:23+00:00,"@BonnieBoren5 Obumer put a Muslim in each home land security office. Obumer let the evil in. Set up for us to be devoured. Weakened and emptied our military, emergency supplies, poisoned our school systems, emptied out government's savings, killed a dead muslim.",1263106296510926848,Bat Sheva,0,0,0,0,Chicago,,465,1517,0
243786,2020-05-19T16:17:46+00:00,"@jesswatki118 @AOC I don't have extremely long threads.
That's exactly why I came back to it.
I wasn't starting a conversation, since the entire debate ended with the ruling. Finality is a good thing, we usually don't get.",1262779489748221952,Ben Weinberg,1,0,0,0,Evanston,,467,974,0
199457,2020-05-16T18:45:09+00:00,@BBCWorld The last “normal world” photo taken https://t.co/ifmZmfcddE,1261729416813645831,Jon,0,0,1,0,Kit Kat Lounge & Supper Club,,49,330,0
404712,2020-05-31T16:57:41+00:00,@MaineMartin3 Witch w0n is it¿? The Silicon &amp; or the botox or both¿? @ doctors that juana' make more money...,1267138190856593410,$c0tty@ConcreteJunqgle,0,0,0,0,Doctors Plastic Surgery,,1889,2196,0
205178,2020-05-16T04:50:03+00:00,I’ve had a few beers tonight. Have you had a few beers tonight?,1261519255759175680,ChunkChunka 🐉,4,0,21,0,Forest Park,,1190,480,0
187129,2020-05-15T16:43:48+00:00,@hatesonny is my favorite rapper,1261336489549578240,blacks only,0,1,1,0,Chicago,,2880,1466,0
169422,2020-05-14T21:39:24+00:00,@BluNoseReindeer I’m angry now,1261048491314417666,🦊 Ennex! 🦊 🔜 MFF,0,0,1,0,Chicago,,1716,942,0
231492,2020-05-18T07:56:25+00:00,mannn i was getting lit to these when i was little no bap😭🤷🏽‍♀️. https://t.co/GvhOvi0lJF,1262290932134805504,ivoo💛🐾.,0,0,1,0,Chicago,,2737,2448,0
324829,2020-05-25T13:11:40+00:00,"That’s the only reason I can see not saying what the baby’s name is. And that’s a real thing too, so I Understand it https://t.co/Mhtn7tZdxN",1264906982806470657,Legends Never Die,1,0,0,0,Chicago,,372,294,0
250336,2020-05-19T01:09:01+00:00,Get Ready everyone! The Motivational Video “PEACE OF MIND” is dropping Wednesday     5-20-2020. This is going to help the people as we come to the end of quarantine and we stay focused on winning and overcoming… https://t.co/ERrZ47itnf,1262550796903895042,Simeon henderson,0,0,0,0,Chicago,,673,890,0
354579,2020-05-27T01:18:28+00:00,"@4everNeverTrump @MollyJongFast @EmmaPeele3 How do we know that he didn't threaten her before he started filming? Not saying I believe it, just that we don't know.",1265452275310514178,J. McCrackan,1,0,0,0,Evanston,,105,384,0
357909,2020-05-28T20:56:37+00:00,Whew chile you gotta take a shower every time you come from back outside with this weather,1266111155547881472,blackity black.,0,0,0,0,Chicago,,1122,415,0
152944,2020-05-12T01:45:46+00:00,@pixelmatt Thanks I was able to locate all the seeds but appreciate you offering.,1260023330024775683,Vince【ヅ】,0,0,0,0,Chicago,,1539,1323,0
318855,2020-05-25T21:48:42+00:00,@Nki19 This how you living g 😭🔥,1265037100606533644,Taylor Bailey,1,0,0,0,Oak Lawn,,2643,1207,0
243514,2020-05-19T16:37:01+00:00,I really think I’m about to move down the street this is about to be the easiest move of all time 😂😂,1262784334387388425,Aub,0,0,1,0,Chicago,,383,399,0
20098,2020-05-02T14:52:09+00:00,@luftherz https://t.co/CjoKlFP3nh,1256597350400888834,Vince【ヅ】,0,0,0,0,Chicago,,1539,1323,0
52188,2020-05-05T22:34:38+00:00,Preach!!! https://t.co/K468R5zyQV,1257800902532042755,Waterhead Bo,0,1,1,0,Chicago,,607,1216,0
366732,2020-05-28T04:01:27+00:00,@YoniMichanie @IlhanMN @ShirTikvahMN Sure you can.,1265855679748804610,🇺🇸Denise Du Vernay🏳️‍🌈,0,0,1,0,Chicago,,884,587,0
200682,2020-05-16T17:08:21+00:00,I’m mad I paid $7 for this soggy ass egg and cheese croissant sandwich man,1261705055301971968,🦋KARUMAKIRĀ🦋,0,0,0,0,Chicago,,279,195,0
187026,2020-05-15T16:50:38+00:00,@ThiccBoyWubs @Pharrowhead Yes people do this but this isn’t the reason to listen to the music... if you can’t suck it up and listen to dubstep once without being obliterated you’re already in the wrong scene to begin with.,1261338209293938689,☠︎︎♡sᴘᴏᴏᴋʏ ᴡᴀɪғᴜ♡︎☠︎︎,0,0,0,0,Chicago,,489,108,0
51780,2020-05-05T23:07:15+00:00,@LivvLaura All we have left is dish soap!!! Better order something else now that’s a good idea. Smh,1257809110524997637,Izzy🇨🇺🌹,0,0,0,0,Chicago,,250,685,0
171685,2020-05-14T18:56:39+00:00,"@gourav17069 @WhiteHouse @realDonaldTrump Yo this is a bot, right?",1261007536993566721,Christopher Borek,0,0,0,0,Chicago,,160,799,0
35708,2020-05-03T03:55:38+00:00,Haha everyday b. taking pics w guns and money he doesn’t have 💀🥴 https://t.co/ExSw8IfybC,1256794522648039425,🇬🇹,0,0,0,0,Chicago,,429,324,0
384941,2020-05-30T23:41:00+00:00,Minneapolis Dude Missed The Gym So Much That He Hopped On A Planet Fitness Elliptical During Their Looting - https://t.co/h47pTDNHIA https://t.co/yuYPV5D6FX. And this is a white man. What will trump say about this ?,1266877301972709376,Tarzan,0,0,0,0,Forest Park,,8,67,0
333160,2020-05-26T19:04:26+00:00,@amazonmusic #DaveMatthews,1265358149776822272,NikiA,0,0,0,0,Chicago,['DaveMatthews'],17,894,0
90556,2020-05-08T23:36:33+00:00,omfg she fuckin dead 🤪 https://t.co/DO5iJq6xVc,1258903645938159616,NICOLE 🦋,0,0,10,0,Chicago,,185,109,0
397089,2020-05-30T01:40:29+00:00,@kevin_jochens Vegas looks rough too,1266544982028169217,Patricia Yamane,1,0,1,0,Chicago,,30929,31778,0
38039,2020-05-03T00:24:02+00:00,Back tf up you too lil🖐🏽,1256741269939916800,THE BULLS MAKING THE PLAYOFFS🐃🔴,0,0,0,0,Chicago,,469,2211,0
356008,2020-05-28T23:26:40+00:00,Im so emo . like everytime i get a message about my music i tear up,1266148917697294337,itsellie,0,0,0,0,Chicago,,1032,481,0
372117,2020-05-29T21:07:44+00:00,https://t.co/mOvwVt3G9r,1266476342863953925,"harrie ""glorious being of light & miracles""💉💉😷",0,1,0,0,Chicago,,2911,4976,0
91698,2020-05-08T22:09:38+00:00,@aqualysabi @weeklygaga Sis mail me a copy lol,1258881775281078281,Lil Chuey,1,0,0,0,Chicago,,622,1206,0
