#,emoji,name,sentiment_score
62,🤠,cowboy hat face,0.0
63,🥳,partying face,0.38
64,🥸,disguised face,-0.27
65,😎,smiling face with sunglasses,0.46
66,🤓,nerd face,-0.3
67,🧐,face with monocle,0.0
68,😕,confused face,-0.32
69,😟,worried face,-0.3
70,🙁,slightly frowning face,-0.27
71,☹,frowning face,-0.34
72,😮,face with open mouth,0.0
73,😯,hushed face,0.0
74,😲,astonished face,0.38
75,😳,flushed face,0.0
76,🥺,pleading face,0.0
77,😦,frowning face with open mouth,-0.34
78,😧,anguished face,-0.42
79,😨,fearful face,-0.49
80,😰,anxious face with sweat,-0.25
81,😥,sad but relieved face,0.33
82,😢,crying face,-0.48
83,😭,loudly crying face,-0.48
84,😱,face screaming in fear,-0.7
85,😖,confounded face,0.0
86,😣,persevering face,0.0
87,😞,disappointed face,-0.48
88,😓,downcast face with sweat,-0.42
89,😩,weary face,-0.27
90,😫,tired face,-0.44
91,🥱,yawning face,0.0
92,😤,face with steam from nose,0.0
93,😡,pouting face,0.0
94,😠,angry face,-0.51
95,🤬,face with symbols on mouth,0.0
96,😈,smiling face with horns,0.46
97,👿,angry face with horns,-0.51
98,💀,skull,0.0
99,☠,skull and crossbones,0.0
100,💩,pile of poo,0.0
101,🤡,clown face,0.0
102,👹,ogre,0.0
103,👺,goblin,0.0
104,👻,ghost,-0.32
105,👽,alien,0.0
106,👾,alien monster,0.0
107,🤖,robot,0.0
108,😺,grinning cat,0.36
109,😸,grinning cat with smiling eyes,0.67
110,😹,cat with tears of joy,0.44
111,😻,smiling cat with heart-eyes,0.46
112,😼,cat with wry smile,0.36
113,😽,kissing cat,0.57
114,🙀,weary cat,-0.27
115,😿,crying cat,-0.48
116,😾,pouting cat,0.0
117,🙈,see-no-evil monkey,0.0
118,🙉,hear-no-evil monkey,0.0
119,🙊,speak-no-evil monkey,0.0
120,💋,kiss mark,0.42
121,💌,love letter,0.64
122,💘,heart with arrow,0.0
123,💝,heart with ribbon,0.0
124,💖,sparkling heart,0.3
125,💗,growing heart,0.18
126,💓,beating heart,-0.46
127,💞,revolving hearts,0.0
128,💕,two hearts,0.0
129,💟,heart decoration,0.0
130,❣,heart exclamation,0.0
131,💔,broken heart,-0.48
132,❤️‍🔥,⊛ heart on fire,-0.34
133,❤️‍🩹,⊛ mending heart,0.0
134,❤,red heart,0.0
135,🧡,orange heart,0.0
136,💛,yellow heart,0.0
137,💚,green heart,0.0
138,💙,blue heart,0.0
139,💜,purple heart,0.0
140,🤎,brown heart,0.0
141,🖤,black heart,0.0
142,🤍,white heart,0.0
143,💯,hundred points,0.0
144,💢,anger symbol,-0.57
145,💥,collision,-0.36
146,💫,dizzy,-0.23
147,💦,sweat droplets,0.0
148,💨,dashing away,0.0
149,🕳,hole,0.0
150,💣,bomb,-0.49
151,💬,speech balloon,0.0
152,👁️‍🗨️,eye in speech bubble,0.0
153,🗨,left speech bubble,0.0
154,🗯,right anger bubble,-0.57
155,💭,thought balloon,0.0
156,💤,zzz,-0.3
157,👋,waving hand,0.49
158,🤚,raised back of hand,0.49
159,🖐,hand with fingers splayed,0.49
160,✋,raised hand,0.49
161,🖖,vulcan salute,0.0
162,👌,OK hand,0.73
163,🤌,pinched fingers,0.0
164,🤏,pinching hand,0.49
165,✌,victory hand,0.49
166,🤞,crossed fingers,0.0
167,🤟,love-you gesture,0.0
168,🤘,sign of the horns,0.0
169,🤙,call me hand,0.49
170,👈,backhand index pointing left,0.0
171,👉,backhand index pointing right,0.0
172,👆,backhand index pointing up,0.0
173,🖕,middle finger,0.0
174,👇,backhand index pointing down,0.0
175,☝,index pointing up,0.0
176,👍,thumbs up,0.0
177,👎,thumbs down,0.0
178,✊,raised fist,0.0
179,👊,oncoming fist,0.0
180,🤛,left-facing fist,0.0
181,🤜,right-facing fist,0.0
182,👏,clapping hands,0.0
183,🙌,raising hands,0.0
184,👐,open hands,0.0
185,🤲,palms up together,0.0
186,🤝,handshake,0.0
187,🙏,folded hands,0.0
188,✍,writing hand,0.49
189,💅,nail polish,0.0
190,🤳,selfie,0.0
191,💪,flexed biceps,0.0
192,🦾,mechanical arm,0.0
193,🦿,mechanical leg,0.0
194,🦵,leg,0.0
195,🦶,foot,0.0
196,👂,ear,0.0
197,🦻,ear with hearing aid,0.0
198,👃,nose,0.0
199,🧠,brain,0.0
200,🫀,anatomical heart,0.0
201,🫁,lungs,0.0
202,🦷,tooth,0.0
203,🦴,bone,0.0
204,👀,eyes,0.0
205,👁,eye,0.0
206,👅,tongue,0.0
207,👄,mouth,0.0
208,👶,baby,0.0
209,🧒,child,0.0
210,👦,boy,0.0
211,👧,girl,0.0
212,🧑,person,0.0
213,👱,person: blond hair,0.0
214,👨,man,0.0
215,🧔,person: beard,0.0
216,🧔‍♂️,⊛ man: beard,0.0
217,🧔‍♀️,⊛ woman: beard,0.0
218,👨‍🦰,man: red hair,0.0
219,👨‍🦱,man: curly hair,0.0
220,👨‍🦳,man: white hair,0.0
221,👨‍🦲,man: bald,0.0
222,👩,woman,0.0
223,👩‍🦰,woman: red hair,0.0
224,🧑‍🦰,person: red hair,0.0
225,👩‍🦱,woman: curly hair,0.0
226,🧑‍🦱,person: curly hair,0.0
227,👩‍🦳,woman: white hair,0.0
228,🧑‍🦳,person: white hair,0.0
229,👩‍🦲,woman: bald,0.0
230,🧑‍🦲,person: bald,0.0
231,👱‍♀️,woman: blond hair,0.0
232,👱‍♂️,man: blond hair,0.0
233,🧓,older person,0.0
234,👴,old man,0.0
235,👵,old woman,0.0
236,🙍,person frowning,-0.34
237,🙍‍♂️,man frowning,-0.34
238,🙍‍♀️,woman frowning,-0.34
239,🙎,person pouting,0.0
240,🙎‍♂️,man pouting,0.0
241,🙎‍♀️,woman pouting,0.0
242,🙅,person gesturing NO,-0.45
243,🙅‍♂️,man gesturing NO,-0.45
244,🙅‍♀️,woman gesturing NO,-0.45
245,🙆,person gesturing OK,0.45
246,🙆‍♂️,man gesturing OK,0.45
247,🙆‍♀️,woman gesturing OK,0.45
248,💁,person tipping hand,0.49
249,💁‍♂️,man tipping hand,0.49
250,💁‍♀️,woman tipping hand,0.49
251,🙋,person raising hand,0.49
252,🙋‍♂️,man raising hand,0.49
253,🙋‍♀️,woman raising hand,0.49
254,🧏,deaf person,0.0
255,🧏‍♂️,deaf man,0.0
256,🧏‍♀️,deaf woman,0.0
257,🙇,person bowing,0.0
258,🙇‍♂️,man bowing,0.0
259,🙇‍♀️,woman bowing,0.0
260,🤦,person facepalming,0.0
261,🤦‍♂️,man facepalming,0.0
262,🤦‍♀️,woman facepalming,0.0
263,🤷,person shrugging,0.0
264,🤷‍♂️,man shrugging,0.0
265,🤷‍♀️,woman shrugging,0.0
266,🧑‍⚕️,health worker,0.0
267,👨‍⚕️,man health worker,0.0
268,👩‍⚕️,woman health worker,0.0
269,🧑‍🎓,student,0.0
270,👨‍🎓,man student,0.0
271,👩‍🎓,woman student,0.0
272,🧑‍🏫,teacher,0.0
273,👨‍🏫,man teacher,0.0
274,👩‍🏫,woman teacher,0.0
275,🧑‍⚖️,judge,0.0
276,👨‍⚖️,man judge,0.0
277,👩‍⚖️,woman judge,0.0
278,🧑‍🌾,farmer,0.0
279,👨‍🌾,man farmer,0.0
280,👩‍🌾,woman farmer,0.0
281,🧑‍🍳,cook,0.0
282,👨‍🍳,man cook,0.0
283,👩‍🍳,woman cook,0.0
284,🧑‍🔧,mechanic,0.0
285,👨‍🔧,man mechanic,0.0
286,👩‍🔧,woman mechanic,0.0
287,🧑‍🏭,factory worker,0.0
288,👨‍🏭,man factory worker,0.0
289,👩‍🏭,woman factory worker,0.0
290,🧑‍💼,office worker,0.0
291,👨‍💼,man office worker,0.0
292,👩‍💼,woman office worker,0.0
293,🧑‍🔬,scientist,0.0
294,👨‍🔬,man scientist,0.0
295,👩‍🔬,woman scientist,0.0
296,🧑‍💻,technologist,0.0
297,👨‍💻,man technologist,0.0
298,👩‍💻,woman technologist,0.0
299,🧑‍🎤,singer,0.0
300,👨‍🎤,man singer,0.0
301,👩‍🎤,woman singer,0.0
302,🧑‍🎨,artist,0.0
303,👨‍🎨,man artist,0.0
304,👩‍🎨,woman artist,0.0
305,🧑‍✈️,pilot,0.0
306,👨‍✈️,man pilot,0.0
307,👩‍✈️,woman pilot,0.0
308,🧑‍🚀,astronaut,0.0
309,👨‍🚀,man astronaut,0.0
310,👩‍🚀,woman astronaut,0.0
311,🧑‍🚒,firefighter,0.0
312,👨‍🚒,man firefighter,0.0
313,👩‍🚒,woman firefighter,0.0
314,👮,police officer,0.0
315,👮‍♂️,man police officer,0.0
316,👮‍♀️,woman police officer,0.0
317,🕵,detective,0.0
318,🕵️‍♂️,man detective,0.0
319,🕵️‍♀️,woman detective,0.0
320,💂,guard,0.0
321,💂‍♂️,man guard,0.0
322,💂‍♀️,woman guard,0.0
323,🥷,ninja,0.0
324,👷,construction worker,0.0
325,👷‍♂️,man construction worker,0.0
326,👷‍♀️,woman construction worker,0.0
327,🤴,prince,0.0
328,👸,princess,0.0
329,👳,person wearing turban,0.0
330,👳‍♂️,man wearing turban,0.0
331,👳‍♀️,woman wearing turban,0.0
332,👲,person with skullcap,0.0
333,🧕,woman with headscarf,0.0
334,🤵,person in tuxedo,0.0
335,🤵‍♂️,man in tuxedo,0.0
336,🤵‍♀️,woman in tuxedo,0.0
337,👰,person with veil,0.0
338,👰‍♂️,man with veil,0.0
339,👰‍♀️,woman with veil,0.0
340,🤰,pregnant woman,0.0
341,🤱,breast-feeding,0.0
342,👩‍🍼,woman feeding baby,0.0
343,👨‍🍼,man feeding baby,0.0
344,🧑‍🍼,person feeding baby,0.0
345,👼,baby angel,0.0
346,🎅,Santa Claus,0.0
347,🤶,Mrs. Claus,0.0
348,🧑‍🎄,mx claus,0.0
349,🦸,superhero,0.0
350,🦸‍♂️,man superhero,0.0
351,🦸‍♀️,woman superhero,0.0
352,🦹,supervillain,0.0
353,🦹‍♂️,man supervillain,0.0
354,🦹‍♀️,woman supervillain,0.0
355,🧙,mage,0.0
356,🧙‍♂️,man mage,0.0
357,🧙‍♀️,woman mage,0.0
358,🧚,fairy,0.0
359,🧚‍♂️,man fairy,0.0
360,🧚‍♀️,woman fairy,0.0
361,🧛,vampire,0.0
362,🧛‍♂️,man vampire,0.0
363,🧛‍♀️,woman vampire,0.0
364,🧜,merperson,0.0
365,🧜‍♂️,merman,0.0
366,🧜‍♀️,mermaid,0.0
367,🧝,elf,0.0
368,🧝‍♂️,man elf,0.0
369,🧝‍♀️,woman elf,0.0
370,🧞,genie,0.0
371,🧞‍♂️,man genie,0.0
372,🧞‍♀️,woman genie,0.0
373,🧟,zombie,0.0
374,🧟‍♂️,man zombie,0.0
375,🧟‍♀️,woman zombie,0.0
376,💆,person getting massage,0.0
377,💆‍♂️,man getting massage,0.0
378,💆‍♀️,woman getting massage,0.0
379,💇,person getting haircut,0.0
380,💇‍♂️,man getting haircut,0.0
381,💇‍♀️,woman getting haircut,0.0
382,🚶,person walking,0.0
383,🚶‍♂️,man walking,0.0
384,🚶‍♀️,woman walking,0.0
385,🧍,person standing,0.0
386,🧍‍♂️,man standing,0.0
387,🧍‍♀️,woman standing,0.0
388,🧎,person kneeling,0.0
389,🧎‍♂️,man kneeling,0.0
390,🧎‍♀️,woman kneeling,0.0
391,🧑‍🦯,person with white cane,0.0
392,👨‍🦯,man with white cane,0.0
393,👩‍🦯,woman with white cane,0.0
394,🧑‍🦼,person in motorized wheelchair,0.0
395,👨‍🦼,man in motorized wheelchair,0.0
396,👩‍🦼,woman in motorized wheelchair,0.0
397,🧑‍🦽,person in manual wheelchair,0.0
398,👨‍🦽,man in manual wheelchair,0.0
399,👩‍🦽,woman in manual wheelchair,0.0
400,🏃,person running,0.0
401,🏃‍♂️,man running,0.0
402,🏃‍♀️,woman running,0.0
403,💃,woman dancing,0.0
404,🕺,man dancing,0.0
405,🕴,person in suit levitating,0.0
406,👯,people with bunny ears,0.0
407,👯‍♂️,men with bunny ears,0.0
408,👯‍♀️,women with bunny ears,0.0
409,🧖,person in steamy room,0.0
410,🧖‍♂️,man in steamy room,0.0
411,🧖‍♀️,woman in steamy room,0.0
412,🧗,person climbing,0.0
413,🧗‍♂️,man climbing,0.0
414,🧗‍♀️,woman climbing,0.0
415,🤺,person fencing,0.0
416,🏇,horse racing,0.0
417,⛷,skier,0.0
418,🏂,snowboarder,0.0
419,🏌,person golfing,0.0
420,🏌️‍♂️,man golfing,0.0
421,🏌️‍♀️,woman golfing,0.0
422,🏄,person surfing,0.0
423,🏄‍♂️,man surfing,0.0
424,🏄‍♀️,woman surfing,0.0
425,🚣,person rowing boat,0.0
426,🚣‍♂️,man rowing boat,0.0
427,🚣‍♀️,woman rowing boat,0.0
428,🏊,person swimming,0.0
429,🏊‍♂️,man swimming,0.0
430,🏊‍♀️,woman swimming,0.0
431,⛹,person bouncing ball,0.0
432,⛹️‍♂️,man bouncing ball,0.0
433,⛹️‍♀️,woman bouncing ball,0.0
434,🏋,person lifting weights,0.0
435,🏋️‍♂️,man lifting weights,0.0
436,🏋️‍♀️,woman lifting weights,0.0
437,🚴,person biking,0.0
438,🚴‍♂️,man biking,0.0
439,🚴‍♀️,woman biking,0.0
440,🚵,person mountain biking,0.0
441,🚵‍♂️,man mountain biking,0.0
442,🚵‍♀️,woman mountain biking,0.0
443,🤸,person cartwheeling,0.0
444,🤸‍♂️,man cartwheeling,0.0
445,🤸‍♀️,woman cartwheeling,0.0
446,🤼,people wrestling,0.0
447,🤼‍♂️,men wrestling,0.0
448,🤼‍♀️,women wrestling,0.0
449,🤽,person playing water polo,0.2
450,🤽‍♂️,man playing water polo,0.2
451,🤽‍♀️,woman playing water polo,0.2
452,🤾,person playing handball,0.2
453,🤾‍♂️,man playing handball,0.2
454,🤾‍♀️,woman playing handball,0.2
455,🤹,person juggling,0.0
456,🤹‍♂️,man juggling,0.0
457,🤹‍♀️,woman juggling,0.0
458,🧘,person in lotus position,0.0
459,🧘‍♂️,man in lotus position,0.0
460,🧘‍♀️,woman in lotus position,0.0
461,🛀,person taking bath,0.0
462,🛌,person in bed,0.0
463,🧑‍🤝‍🧑,people holding hands,0.0
464,👭,women holding hands,0.0
465,👫,woman and man holding hands,0.0
466,👬,men holding hands,0.0
467,💏,kiss,0.42
468,👩‍❤️‍💋‍👨,"kiss: woman, man",0.42
469,👨‍❤️‍💋‍👨,"kiss: man, man",0.42
470,👩‍❤️‍💋‍👩,"kiss: woman, woman",0.42
471,💑,couple with heart,0.0
472,👩‍❤️‍👨,"couple with heart: woman, man",0.0
473,👨‍❤️‍👨,"couple with heart: man, man",0.0
474,👩‍❤️‍👩,"couple with heart: woman, woman",0.0
475,👪,family,0.0
476,👨‍👩‍👦,"family: man, woman, boy",0.0
477,👨‍👩‍👧,"family: man, woman, girl",0.0
478,👨‍👩‍👧‍👦,"family: man, woman, girl, boy",0.0
479,👨‍👩‍👦‍👦,"family: man, woman, boy, boy",0.0
480,👨‍👩‍👧‍👧,"family: man, woman, girl, girl",0.0
481,👨‍👨‍👦,"family: man, man, boy",0.0
482,👨‍👨‍👧,"family: man, man, girl",0.0
483,👨‍👨‍👧‍👦,"family: man, man, girl, boy",0.0
484,👨‍👨‍👦‍👦,"family: man, man, boy, boy",0.0
485,👨‍👨‍👧‍👧,"family: man, man, girl, girl",0.0
486,👩‍👩‍👦,"family: woman, woman, boy",0.0
487,👩‍👩‍👧,"family: woman, woman, girl",0.0
488,👩‍👩‍👧‍👦,"family: woman, woman, girl, boy",0.0
489,👩‍👩‍👦‍👦,"family: woman, woman, boy, boy",0.0
490,👩‍👩‍👧‍👧,"family: woman, woman, girl, girl",0.0
491,👨‍👦,"family: man, boy",0.0
492,👨‍👦‍👦,"family: man, boy, boy",0.0
493,👨‍👧,"family: man, girl",0.0
494,👨‍👧‍👦,"family: man, girl, boy",0.0
495,👨‍👧‍👧,"family: man, girl, girl",0.0
496,👩‍👦,"family: woman, boy",0.0
497,👩‍👦‍👦,"family: woman, boy, boy",0.0
498,👩‍👧,"family: woman, girl",0.0
499,👩‍👧‍👦,"family: woman, girl, boy",0.0
500,👩‍👧‍👧,"family: woman, girl, girl",0.0
501,🗣,speaking head,0.0
502,👤,bust in silhouette,0.0
503,👥,busts in silhouette,0.0
504,🫂,people hugging,0.42
505,👣,footprints,0.0
506,🦰,red hair,0.0
507,🦱,curly hair,0.0
508,🦳,white hair,0.0
509,🦲,bald,0.0
510,🐵,monkey face,0.0
511,🐒,monkey,0.0
512,🦍,gorilla,0.0
513,🦧,orangutan,0.0
514,🐶,dog face,0.0
515,🐕,dog,0.0
516,🦮,guide dog,0.0
517,🐕‍🦺,service dog,0.0
518,🐩,poodle,0.0
519,🐺,wolf,0.0
520,🦊,fox,0.0
521,🦝,raccoon,0.0
522,🐱,cat face,0.0
523,🐈,cat,0.0
524,🐈‍⬛,black cat,0.0
525,🦁,lion,0.0
526,🐯,tiger face,0.0
527,🐅,tiger,0.0
528,🐆,leopard,0.0
529,🐴,horse face,0.0
530,🐎,horse,0.0
531,🦄,unicorn,0.0
532,🦓,zebra,0.0
533,🦌,deer,0.0
534,🦬,bison,0.0
535,🐮,cow face,0.0
536,🐂,ox,0.0
537,🐃,water buffalo,0.0
538,🐄,cow,0.0
539,🐷,pig face,0.0
540,🐖,pig,0.0
541,🐗,boar,0.0
542,🐽,pig nose,0.0
543,🐏,ram,0.0
544,🐑,ewe,0.0
545,🐐,goat,0.0
546,🐪,camel,0.0
547,🐫,two-hump camel,0.0
548,🦙,llama,0.0
549,🦒,giraffe,0.0
550,🐘,elephant,0.0
551,🦣,mammoth,0.0
552,🦏,rhinoceros,0.0
553,🦛,hippopotamus,0.0
554,🐭,mouse face,0.0
555,🐁,mouse,0.0
556,🐀,rat,0.0
557,🐹,hamster,0.0
558,🐰,rabbit face,0.0
559,🐇,rabbit,0.0
560,🐿,chipmunk,0.0
561,🦫,beaver,0.0
562,🦔,hedgehog,0.0
563,🦇,bat,0.0
564,🐻,bear,0.0
565,🐻‍❄️,polar bear,0.0
566,🐨,koala,0.0
567,🐼,panda,0.0
568,🦥,sloth,0.0
569,🦦,otter,0.0
570,🦨,skunk,0.0
571,🦘,kangaroo,0.0
572,🦡,badger,0.0
573,🐾,paw prints,0.0
574,🦃,turkey,0.0
575,🐔,chicken,0.0
576,🐓,rooster,0.0
577,🐣,hatching chick,0.0
578,🐤,baby chick,0.0
579,🐥,front-facing baby chick,0.0
580,🐦,bird,0.0
581,🐧,penguin,0.0
582,🕊,dove,0.0
583,🦅,eagle,0.0
584,🦆,duck,0.0
585,🦢,swan,0.0
586,🦉,owl,0.0
587,🦤,dodo,0.0
588,🪶,feather,0.0
589,🦩,flamingo,0.0
590,🦚,peacock,0.0
591,🦜,parrot,0.0
592,🐸,frog,0.0
593,🐊,crocodile,0.0
594,🐢,turtle,0.0
595,🦎,lizard,0.0
596,🐍,snake,0.0
597,🐲,dragon face,0.0
598,🐉,dragon,0.0
599,🦕,sauropod,0.0
600,🦖,T-Rex,0.0
601,🐳,spouting whale,0.0
602,🐋,whale,0.0
603,🐬,dolphin,0.0
604,🦭,seal,0.0
605,🐟,fish,0.0
606,🐠,tropical fish,0.0
607,🐡,blowfish,0.0
608,🦈,shark,0.0
609,🐙,octopus,0.0
610,🐚,spiral shell,0.0
611,🐌,snail,0.0
612,🦋,butterfly,0.0
613,🐛,bug,0.0
614,🐜,ant,0.0
615,🐝,honeybee,0.0
616,🪲,beetle,0.0
617,🐞,lady beetle,0.0
618,🦗,cricket,0.0
619,🪳,cockroach,0.0
620,🕷,spider,0.0
621,🕸,spider web,0.0
622,🦂,scorpion,0.0
623,🦟,mosquito,0.0
624,🪰,fly,0.0
625,🪱,worm,0.0
626,🦠,microbe,0.0
627,💐,bouquet,0.0
628,🌸,cherry blossom,0.0
629,💮,white flower,0.0
630,🏵,rosette,0.0
631,🌹,rose,0.0
632,🥀,wilted flower,0.0
633,🌺,hibiscus,0.0
634,🌻,sunflower,0.0
635,🌼,blossom,0.0
636,🌷,tulip,0.0
637,🌱,seedling,0.0
638,🪴,potted plant,0.0
639,🌲,evergreen tree,0.0
640,🌳,deciduous tree,0.0
641,🌴,palm tree,0.0
642,🌵,cactus,0.0
643,🌾,sheaf of rice,0.0
644,🌿,herb,0.0
645,☘,shamrock,0.0
646,🍀,four leaf clover,0.0
647,🍁,maple leaf,0.0
648,🍂,fallen leaf,-0.36
649,🍃,leaf fluttering in wind,0.0
650,🍇,grapes,0.0
651,🍈,melon,0.0
652,🍉,watermelon,0.0
653,🍊,tangerine,0.0
654,🍋,lemon,0.0
655,🍌,banana,0.0
656,🍍,pineapple,0.0
657,🥭,mango,0.0
658,🍎,red apple,0.0
659,🍏,green apple,0.0
660,🍐,pear,0.0
661,🍑,peach,0.0
662,🍒,cherries,0.0
663,🍓,strawberry,0.0
664,🫐,blueberries,0.0
665,🥝,kiwi fruit,0.0
666,🍅,tomato,0.0
667,🫒,olive,0.0
668,🥥,coconut,0.0
669,🥑,avocado,0.0
670,🍆,eggplant,0.0
671,🥔,potato,0.0
672,🥕,carrot,0.0
673,🌽,ear of corn,0.0
674,🌶,hot pepper,0.0
675,🫑,bell pepper,0.0
676,🥒,cucumber,0.0
677,🥬,leafy green,0.0
678,🥦,broccoli,0.0
679,🧄,garlic,0.0
680,🧅,onion,0.0
681,🍄,mushroom,0.0
682,🥜,peanuts,0.0
683,🌰,chestnut,0.0
684,🍞,bread,0.0
685,🥐,croissant,0.0
686,🥖,baguette bread,0.0
687,🫓,flatbread,0.0
688,🥨,pretzel,0.0
689,🥯,bagel,0.0
690,🥞,pancakes,0.0
691,🧇,waffle,0.0
692,🧀,cheese wedge,0.0
693,🍖,meat on bone,0.0
694,🍗,poultry leg,0.0
695,🥩,cut of meat,-0.27
696,🥓,bacon,0.0
697,🍔,hamburger,0.0
698,🍟,french fries,0.0
699,🍕,pizza,0.0
700,🌭,hot dog,0.0
701,🥪,sandwich,0.0
702,🌮,taco,0.0
703,🌯,burrito,0.0
704,🫔,tamale,0.0
705,🥙,stuffed flatbread,0.0
706,🧆,falafel,0.0
707,🥚,egg,0.0
708,🍳,cooking,0.0
709,🥘,shallow pan of food,0.0
710,🍲,pot of food,0.0
711,🫕,fondue,0.0
712,🥣,bowl with spoon,0.0
713,🥗,green salad,0.0
714,🍿,popcorn,0.0
715,🧈,butter,0.0
716,🧂,salt,0.0
717,🥫,canned food,0.0
718,🍱,bento box,0.0
719,🍘,rice cracker,0.0
720,🍙,rice ball,0.0
721,🍚,cooked rice,0.0
722,🍛,curry rice,0.0
723,🍜,steaming bowl,0.0
724,🍝,spaghetti,0.0
725,🍠,roasted sweet potato,0.46
726,🍢,oden,0.0
727,🍣,sushi,0.0
728,🍤,fried shrimp,0.0
729,🍥,fish cake with swirl,0.0
730,🥮,moon cake,0.0
731,🍡,dango,0.0
732,🥟,dumpling,0.1
733,🥠,fortune cookie,0.0
734,🥡,takeout box,0.0
735,🦀,crab,0.0
736,🦞,lobster,0.0
737,🦐,shrimp,0.0
738,🦑,squid,0.0
739,🦪,oyster,0.0
740,🍦,soft ice cream,0.0
741,🍧,shaved ice,0.0
742,🍨,ice cream,0.0
743,🍩,doughnut,0.0
744,🍪,cookie,0.0
745,🎂,birthday cake,0.0
746,🍰,shortcake,0.0
747,🧁,cupcake,0.0
748,🥧,pie,0.0
749,🍫,chocolate bar,0.0
750,🍬,candy,0.0
751,🍭,lollipop,0.0
752,🍮,custard,0.0
753,🍯,honey pot,0.0
754,🍼,baby bottle,0.0
755,🥛,glass of milk,0.0
756,☕,hot beverage,0.0
757,🫖,teapot,0.0
758,🍵,teacup without handle,0.0
759,🍶,sake,0.0
760,🍾,bottle with popping cork,0.0
761,🍷,wine glass,0.0
762,🍸,cocktail glass,0.0
763,🍹,tropical drink,0.0
764,🍺,beer mug,0.0
765,🍻,clinking beer mugs,0.0
766,🥂,clinking glasses,0.0
767,🥃,tumbler glass,0.0
768,🥤,cup with straw,0.0
769,🧋,bubble tea,0.0
770,🧃,beverage box,0.0
771,🧉,mate,0.0
772,🧊,ice,0.0
773,🥢,chopsticks,0.0
774,🍽,fork and knife with plate,0.0
775,🍴,fork and knife,0.0
776,🥄,spoon,0.0
777,🔪,kitchen knife,0.0
778,🏺,amphora,0.0
779,🌍,globe showing Europe-Africa,0.0
780,🌎,globe showing Americas,0.0
781,🌏,globe showing Asia-Australia,0.0
782,🌐,globe with meridians,0.0
783,🗺,world map,0.0
784,🗾,map of Japan,0.0
785,🧭,compass,0.0
786,🏔,snow-capped mountain,0.0
787,⛰,mountain,0.0
788,🌋,volcano,0.0
789,🗻,mount fuji,0.0
790,🏕,camping,0.0
791,🏖,beach with umbrella,0.0
792,🏜,desert,0.0
793,🏝,desert island,0.0
794,🏞,national park,0.0
795,🏟,stadium,0.0
796,🏛,classical building,0.0
797,🏗,building construction,0.0
798,🧱,brick,0.0
799,🪨,rock,0.0
800,🪵,wood,0.0
801,🛖,hut,0.0
802,🏘,houses,0.0
803,🏚,derelict house,0.0
804,🏠,house,0.0
805,🏡,house with garden,0.0
806,🏢,office building,0.0
807,🏣,Japanese post office,0.0
808,🏤,post office,0.0
809,🏥,hospital,0.0
810,🏦,bank,0.0
811,🏨,hotel,0.0
812,🏩,love hotel,0.64
813,🏪,convenience store,0.0
814,🏫,school,0.0
815,🏬,department store,0.0
816,🏭,factory,0.0
817,🏯,Japanese castle,0.0
818,🏰,castle,0.0
819,💒,wedding,0.0
820,🗼,Tokyo tower,0.0
821,🗽,Statue of Liberty,0.53
822,⛪,church,0.0
823,🕌,mosque,0.0
824,🛕,hindu temple,0.0
825,🕍,synagogue,0.0
