,date,content,id,user,replyCount,retweetCount,likeCount,quoteCount,place,hashtags,followers,friends,ijoy
190842,2020-03-13T17:43:11+00:00,Me showing up to a dark office with a locked door this morning https://t.co/luCFl7puQW,1238520999060148229,Topher McCulloch,0,0,3,0,"Chicago, IL",,1656,975,0
47053,2020-03-04T18:05:37+00:00,@tamiserra Affff... e eu nem tô. Me incomoda a frase flutuando sem pontuação.,1235265156004929537,Rodrigo Fernandes,0,0,0,0,"Chicago, IL",,495224,2066,0
35956,2020-03-03T13:31:38+00:00,@coachbdixon @ZachDechant @JustFlySports @XLATHLETE @korfist @TheKurtHester Great list.,1234833814221926400,Chris_Davenport,0,0,1,0,"Whiting, IN",,603,561,0
26451,2020-03-02T01:51:19+00:00,@LEBassett Fossil,1234295186580217856,GameplanCreativeCHI,0,0,0,0,"Chicago, IL",,3362,4230,0
158288,2020-03-11T11:43:29+00:00,good morning,1237705700547182593,jackie,0,0,1,0,"Chicago, IL",,1193,1964,0
242662,2020-03-16T15:05:13+00:00,can they please shut all malls down before all these stank ass teenagers that are off of school for the next two weeks make my life a living hell? https://t.co/ym4vL8ACF2,1239568409488220160,alexis,0,0,14,0,"Chicago, IL",,733,628,0
493857,2020-03-31T19:48:25+00:00,"I’m 26, No Kids, 10 Tattoos, 7 Piercings &amp; I’m A Capricorn! 😈 Hbu? https://t.co/5PStdVCmpG",1245075498616655874,𝓘𝓼𝓪𝓫𝓮𝓵𝓲𝓽𝓪 🕊,0,1,1,1,"Chicago, IL",,256,283,0
502742,2020-03-31T03:22:28+00:00,@haramdre One of the worst things you can do when coming down with a virus is to get dehydrated. It happened to me in college I ended up in the ER Soph yr I could barely move. My roommate took me I had no idea i was severely dehydrated. It’s so hard to get better once it happens.,1244827373540986881,Dave Young,0,0,1,0,"Chicago, IL",,373,530,0
62479,2020-03-05T18:44:14+00:00,@dms_out https://t.co/fcqqOrRZ1C,1235637259069767681,LittleChef👩🏽‍🍳,0,0,0,1,"Chicago, IL",,1863,712,0
388198,2020-03-24T02:06:10+00:00,"Finally, a dumb Twitter thing I want to do!

Places I’ve lived ⬇️

📍North Chicago Suburbs, IL
📍Peoria, IL
📍Battle Creek, MI
📍Potomac, MD
📍Dunedin, FL
📍Fort Myers, FL
📍High Point, NC
📍Biloxi, MS
📍Knoxville, TN
📍Fort Lauderdale, FL
📍Under a bridge",1242271458186997760,Spencer Siegel,0,0,8,0,"Evanston, IL",,432,582,0
291889,2020-03-19T19:34:25+00:00,@mmpadellan He cares for only himself. A disaster!,1240723317306335233,Myrna Hill,0,0,0,0,"Evergreen Park, IL",,21,220,0
